role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasoperator,hasoperator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,partof,ispartof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9167; levenshtein=0.7500; semantic=0.8318; sequence_match=0.8571,False,0.8685,True,selected
property,consequence,isconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8277; sequence_match=0.8462,False,0.8415,True,selected
property,remedy,remedies,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8917; levenshtein=0.6250; semantic=0.8675; sequence_match=0.7143,False,0.8245,True,selected
property,hasaction,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6549; sequence_match=0.6250,False,0.7032,True,selected
property,obligation,violationof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8008; levenshtein=0.3636; semantic=0.5706; sequence_match=0.6667,False,0.6793,True,selected
property,hasprohibition,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8357; levenshtein=0.3571; semantic=0.6191; sequence_match=0.5455,False,0.6668,True,selected
property,scope,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.7113; sequence_match=0.5000,False,0.6292,True,selected
property,hasconstraint,hassubconstraint,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9204; levenshtein=0.8125; semantic=0.8061; sequence_match=0.8966,False,0.8765,False,gold already mapped to 'hasconstraint'
property,hasduty,hastype,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6796; sequence_match=0.7143,False,0.7535,False,gold already mapped to 'hasduty'
property,hasoperator,haspart,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8818; levenshtein=0.5455; semantic=0.6413; sequence_match=0.6667,False,0.7299,False,gold already mapped to 'hasoperator'
property,hasduty,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8458; levenshtein=0.6250; semantic=0.6681; sequence_match=0.6667,False,0.7269,False,gold already mapped to 'hasduty'
